Customer_ID,Product_ID,Contract_duration,Monthly_price_init,Monthly_price,Start_date,End_date,Max_Amount,Amount
34,108,18,500,450,25/10/2023,25/04/2025,1,1
34,108,18,500,460,22/10/2023,22/04/2025,1,1
34,108,12,500,470,11/10/2024,11/10/2025,1,1
35,102,12,40,36,22/03/2024,22/03/2025,2,2
35,102,24,40,37,26/02/2024,26/02/2026,2,2
35,106,12,30,27,19/04/2023,19/04/2024,2,2
35,108,24,500,490,13/07/2023,13/07/2025,1,1
36,106,18,30,27,24/06/2023,24/12/2024,2,2
37,105,24,80,80,27/04/2024,27/04/2026,2,2
37,101,6,100,92,01/04/2024,01/10/2024,2,2
38,105,24,80,72,08/09/2024,08/09/2026,2,1
39,106,6,30,28,22/07/2023,22/01/2024,2,1
39,103,12,20,18,17/09/2023,17/09/2024,6,6
39,102,6,40,37,03/08/2023,03/02/2024,2,1
40,103,12,20,19,13/01/2024,13/01/2025,6,2
41,108,18,500,460,17/06/2023,17/12/2024,1,1
41,104,18,10,9,07/05/2024,07/11/2025,10,5
42,107,18,25,23,15/11/2024,15/05/2026,5,1
42,104,12,10,9,07/06/2024,07/06/2025,10,7
42,106,18,30,27,05/10/2024,05/04/2026,2,1
43,101,18,100,97,05/07/2023,05/01/2025,2,1
43,104,6,10,9,01/11/2024,01/05/2025,10,6
43,103,12,20,20,10/08/2023,10/08/2024,6,6
44,104,12,10,10,14/01/2025,14/01/2026,10,10
45,106,24,30,27,13/09/2024,13/09/2026,2,2
46,106,12,30,28,30/01/2025,30/01/2026,2,2
46,101,6,100,92,15/01/2023,15/07/2023,2,1
46,107,24,25,23,03/01/2025,03/01/2027,5,2
47,105,12,80,72,17/08/2023,17/08/2024,2,1
47,101,6,100,100,26/07/2024,26/01/2025,2,1
48,102,12,40,36,28/01/2023,28/01/2024,2,2
48,103,18,20,19,03/03/2024,03/09/2025,6,2
48,107,6,25,22,11/07/2023,11/01/2024,5,4
49,101,6,100,96,23/01/2023,23/07/2023,2,2
50,103,12,20,19,20/06/2024,20/06/2025,6,1
50,103,6,20,18,29/05/2024,29/11/2024,6,4
50,102,18,40,37,08/01/2025,08/07/2026,2,1
51,106,6,30,27,10/01/2023,10/07/2023,2,1
51,106,24,30,27,06/02/2023,06/02/2025,2,1
51,107,18,25,23,24/04/2024,24/10/2025,5,4
51,102,12,40,39,29/12/2024,29/12/2025,2,1
52,107,24,25,24,30/01/2024,30/01/2026,5,1
53,107,18,25,24,25/07/2023,25/01/2025,5,2
53,103,12,20,18,18/01/2025,18/01/2026,6,4
54,105,12,80,75,04/04/2024,04/04/2025,2,2
54,104,6,10,9,03/01/2024,03/07/2024,10,10
54,108,6,500,480,26/04/2024,26/10/2024,1,1
55,101,6,100,95,12/01/2024,12/07/2024,2,2
56,107,12,25,22,24/12/2023,24/12/2024,5,1
57,106,12,30,27,28/01/2023,28/01/2024,2,2
57,107,12,25,23,23/03/2024,23/03/2025,5,4
58,104,12,10,9,05/01/2023,05/01/2024,10,4
58,104,6,10,9,11/10/2023,11/04/2024,10,2
58,108,6,500,470,16/03/2024,16/09/2024,1,1
58,107,6,25,24,27/12/2023,27/06/2024,5,3
59,104,24,10,9,30/05/2023,30/05/2025,10,3
59,108,12,500,495,10/08/2024,10/08/2025,1,1
60,103,24,20,18,15/02/2023,15/02/2025,6,3
61,108,18,500,480,29/09/2024,29/03/2026,1,1
61,106,6,30,27,23/06/2024,23/12/2024,2,2
61,107,24,25,22,22/10/2023,22/10/2025,5,2
62,105,12,80,73,30/04/2023,30/04/2024,2,1
62,102,12,40,36,24/04/2024,24/04/2025,2,2
63,106,12,30,27,29/03/2024,29/03/2025,2,2
64,105,24,80,77,29/09/2024,29/09/2026,2,2
64,106,18,30,29,17/01/2024,17/07/2025,2,2
64,101,18,100,90,09/06/2023,09/12/2024,2,2
64,106,24,30,29,04/02/2025,04/02/2027,2,2
65,104,18,10,10,15/01/2024,15/07/2025,10,10
66,102,12,40,38,15/05/2023,15/05/2024,2,1
67,102,12,40,39,18/05/2024,18/05/2025,2,2
67,106,24,30,29,19/09/2024,19/09/2026,2,2
68,107,6,25,23,26/06/2023,26/12/2023,5,3
68,108,18,500,500,15/05/2024,15/11/2025,1,1
69,108,18,500,480,31/08/2024,28/02/2026,1,1
69,106,18,30,29,03/05/2024,03/11/2025,2,1
70,101,18,100,94,18/01/2024,18/07/2025,2,1
70,108,12,500,495,06/01/2024,06/01/2025,1,1
70,102,12,40,38,28/09/2024,28/09/2025,2,1
70,102,6,40,37,01/06/2024,01/12/2024,2,2
71,102,6,40,40,13/01/2023,13/07/2023,2,2
72,106,12,30,30,13/02/2025,13/02/2026,2,2
73,101,6,100,93,24/05/2023,24/11/2023,2,1
73,101,18,100,93,12/06/2024,12/12/2025,2,2
74,107,18,25,24,20/03/2024,20/09/2025,5,5
74,108,12,500,485,17/01/2024,17/01/2025,1,1
74,104,12,10,9,26/06/2023,26/06/2024,10,3
75,106,18,30,29,18/03/2023,18/09/2024,2,2
75,103,18,20,19,02/06/2023,02/12/2024,6,3
75,105,12,80,80,04/09/2023,04/09/2024,2,2
76,102,18,40,36,16/11/2024,16/05/2026,2,1
76,102,6,40,36,15/12/2024,15/06/2025,2,2
76,105,18,80,72,09/11/2023,09/05/2025,2,2
77,106,24,30,28,22/08/2023,22/08/2025,2,1
77,107,12,25,24,02/11/2023,02/11/2024,5,5
77,103,12,20,20,25/08/2024,25/08/2025,6,2
78,101,6,100,100,26/11/2024,26/05/2025,2,2
78,108,18,500,455,02/11/2024,02/05/2026,1,1
79,108,12,500,500,16/01/2025,16/01/2026,1,1
79,102,12,40,39,02/02/2023,02/02/2024,2,1
79,103,24,20,20,15/12/2023,15/12/2025,6,3
79,107,18,25,23,20/04/2024,20/10/2025,5,4
80,104,12,10,9,11/10/2024,11/10/2025,10,6
80,104,18,10,9,17/10/2023,17/04/2025,10,5
81,103,18,20,19,23/07/2024,23/01/2026,6,1
81,104,18,10,9,28/11/2023,28/05/2025,10,7
81,108,18,500,465,24/07/2024,24/01/2026,1,1
82,101,18,100,100,29/12/2023,29/06/2025,2,2
83,101,24,100,92,18/11/2024,18/11/2026,2,1
83,103,12,20,18,15/05/2024,15/05/2025,6,1
83,104,18,10,9,08/05/2023,08/11/2024,10,4
83,104,12,10,9,09/07/2024,09/07/2025,10,3
84,107,12,25,25,21/05/2024,21/05/2025,5,3
84,106,18,30,29,26/12/2023,26/06/2025,2,2
84,108,6,500,490,17/01/2024,17/07/2024,1,1
85,101,18,100,93,16/02/2025,16/08/2026,2,1
86,103,24,20,19,11/10/2023,11/10/2025,6,5
86,108,24,500,495,20/06/2024,20/06/2026,1,1
86,101,24,100,90,23/05/2023,23/05/2025,2,1
86,102,6,40,36,30/03/2023,30/09/2023,2,2
87,106,6,30,27,18/08/2023,18/02/2024,2,1
87,103,6,20,18,25/02/2024,25/08/2024,6,1
87,106,6,30,28,27/04/2023,27/10/2023,2,2
88,108,24,500,450,04/02/2025,04/02/2027,1,1
88,107,12,25,23,12/09/2023,12/09/2024,5,2
89,102,6,40,36,23/04/2023,23/10/2023,2,1
89,102,24,40,40,27/06/2024,27/06/2026,2,1
89,108,24,500,450,29/03/2024,29/03/2026,1,1
90,102,6,40,39,11/02/2025,11/08/2025,2,2
90,108,24,500,455,20/02/2024,20/02/2026,1,1
90,107,24,25,23,18/12/2024,18/12/2026,5,2
90,105,12,80,79,05/06/2024,05/06/2025,2,1
91,107,6,25,22,13/04/2023,13/10/2023,5,2
91,105,18,80,76,02/08/2024,02/02/2026,2,1
91,103,6,20,19,20/10/2023,20/04/2024,6,1
92,108,6,500,500,30/01/2023,30/07/2023,1,1
93,106,18,30,30,02/11/2023,02/05/2025,2,1
94,101,12,100,93,08/05/2023,08/05/2024,2,1
95,103,12,20,18,05/02/2023,05/02/2024,6,6
95,102,12,40,36,31/12/2024,31/12/2025,2,2
96,106,18,30,27,08/03/2023,08/09/2024,2,2
97,103,18,20,19,07/11/2023,07/05/2025,6,1
97,102,18,40,39,03/06/2024,03/12/2025,2,2
97,101,6,100,90,20/09/2024,20/03/2025,2,2
97,105,24,80,79,25/03/2023,25/03/2025,2,1
98,107,18,25,23,09/03/2024,09/09/2025,5,4
99,102,24,40,40,27/09/2023,27/09/2025,2,2
100,107,6,25,23,27/04/2023,27/10/2023,5,2
